objID,u,g,r,i,z
588848900971299281,22.55218,21.08744,20.28041,20.04251,19.37127
588848900971299282,22.67882,24.14491,21.37153,20.88683,21.16393
588848900971299284,21.53908,22.09095,20.81463,19.83287,22.76383
588848900971299285,22.57927,22.40949,21.69262,20.85991,19.54916
588848900971299286,22.34326,22.47549,21.70187,21.27564,24.48958
588848900971299290,24.12965,23.06622,21.2762,20.61665,20.08728
588848900971299293,24.78733,21.63667,20.60299,20.55902,20.78247
588848900971299296,24.47968,22.36202,21.66306,21.68572,22.54993
588848900971299297,28.09685,21.34136,19.98679,19.39993,18.74185
588848900971299298,22.87988,22.33098,21.36495,20.70298,20.08392
588848900971299300,22.75451,22.3641,21.30925,21.41255,19.66129
588848900971299301,25.32515,22.65679,21.25497,20.73385,19.90584
588848900971299302,21.08596,20.42436,20.08173,19.9236,20.79465
588848900971299304,21.70437,22.74993,22.14333,22.17584,21.05339
588848900971299305,22.81639,21.72123,21.20008,20.69379,19.58955
588848900971299308,24.62784,22.33257,22.08287,22.00821,21.43126
588848900971299310,24.30903,24.67707,20.85264,20.91903,19.81021
588848900971299313,23.53625,22.4081,20.75712,20.22733,19.80113
588848900971299314,26.88062,22.44217,20.50205,19.68696,19.26295
588848900971299315,27.63508,22.66891,20.46176,19.85831,19.04028
588848900971299317,22.01837,24.48825,21.12386,22.07628,20.90399
588848900971299318,25.84937,22.52478,22.33843,22.46467,21.79639
588848900971299326,22.6446,22.22152,21.20372,20.65607,20.30856
588848900971299328,22.01628,22.1531,21.57798,21.17026,21.21112
588848900971299331,24.0207,21.45918,20.37929,19.7007,19.70056
588848900971299332,23.42188,21.38461,19.7278,19.11025,18.99498
588848900971299334,23.04637,22.59579,21.08454,21.23744,20.04415
588848900971299336,21.41052,21.20942,20.48858,20.14604,19.96341
588848900971299337,22.46098,22.03525,21.73407,21.98022,21.24202
588848900971299339,22.08936,23.21409,21.80847,21.02837,20.30404
588848900971299340,26.46801,20.83715,20.01044,19.64516,19.39562
588848900971299342,25.0655,22.22692,20.57229,20.27875,19.26627
588848900971299344,22.3091,21.99802,21.58195,21.21561,20.55624
588848900971299345,22.69447,22.23612,21.67552,21.24513,21.55234
588848900971299349,22.10925,21.93731,21.12918,20.88032,21.92644
588848900971299351,21.39906,20.37925,19.09808,18.64349,17.90695
588848900971299353,24.03309,22.65664,21.70284,21.13142,20.41795
588848900971299355,22.51979,23.86512,21.85605,21.78213,21.05981
588848900971299356,21.81889,20.63875,20.23874,19.72761,19.19708
588848900971299359,23.63174,22.89283,21.90934,21.58474,20.18949
588848900971299365,19.6301,23.93932,21.7728,21.2558,20.62042
588848900971299370,23.06247,22.77005,21.72417,25.18053,21.09375
588848900971299371,24.722,21.99969,22.25759,21.47007,21.08797
588848900971299373,23.39295,22.34738,21.61466,21.06124,20.14494
588848900971299375,21.16595,20.11728,19.09408,18.63487,18.07889
588848900971299376,23.78963,22.21405,21.45571,20.68192,20.44022
588848900971299377,21.77411,21.48598,20.23702,19.8139,19.18182
588848900971299379,23.49784,22.39608,20.75821,19.99594,19.62159
588848900971299380,22.69781,22.49684,21.35838,20.57107,20.42119
